epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.2415,1.56151,0.35,1,1.59312,2.142e-05,2.142e-05,2.142e-05
2,29.1654,1.55244,0.38333,1,1.57728,4.80008e-05,4.80008e-05,4.80008e-05
3,42.1183,1.48933,0.53333,1,1.55187,7.23196e-05,7.23196e-05,7.23196e-05
4,54.7004,1.47911,0.68333,1,1.52214,9.43765e-05,9.43765e-05,9.43765e-05
5,66.9875,1.31539,0.76667,1,1.49996,0.000114171,0.000114171,0.000114171
6,79.1037,1.28717,0.8,1,1.47884,0.000131704,0.000131704,0.000131704
7,91.5405,1.20013,0.86667,1,1.44491,0.000146975,0.000146975,0.000146975
8,104.068,1.05198,0.88333,1,1.40965,0.000159985,0.000159985,0.000159985
9,116.571,1.15109,0.91667,1,1.36831,0.000170732,0.000170732,0.000170732
10,130.142,1.07312,0.95,1,1.32683,0.000179217,0.000179217,0.000179217
11,143.446,1.05167,0.98333,1,1.28373,0.00018544,0.00018544,0.00018544
12,155.902,0.89013,1,1,1.2424,0.000189401,0.000189401,0.000189401
13,168.578,0.82905,1,1,1.20233,0.000191101,0.000191101,0.000191101
14,181.616,0.73835,1,1,1.18519,0.000190538,0.000190538,0.000190538
15,194.748,0.65476,1,1,1.14803,0.000187713,0.000187713,0.000187713
16,207.832,0.65152,1,1,1.12946,0.000182627,0.000182627,0.000182627
17,220.981,0.60181,1,1,1.11438,0.000175278,0.000175278,0.000175278
18,233.456,0.59303,1,1,1.09311,0.000165668,0.000165668,0.000165668
19,246.577,0.5844,1,1,1.08144,0.000153796,0.000153796,0.000153796
20,259.278,0.49553,1,1,1.06727,0.000139661,0.000139661,0.000139661
21,272.545,0.49826,1,1,1.06028,0.000123265,0.000123265,0.000123265
22,285.213,0.66923,1,1,1.06249,0.000104607,0.000104607,0.000104607
23,297.686,0.50327,1,1,1.05215,8.36865e-05,8.36865e-05,8.36865e-05
24,310.791,0.44473,1,1,1.0451,6.05044e-05,6.05044e-05,6.05044e-05
25,323.618,0.46616,0.98333,1,1.04926,3.50603e-05,3.50603e-05,3.50603e-05
