epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.309,2.02709,3.82418,1.87257,0.01104,0.05265,0.00609,0.00155,2.00805,4.01196,1.76691,1.25e-05,1.25e-05,1.25e-05
2,489.789,1.98909,3.8188,1.85681,0.00245,0.04017,0.00156,0.00061,1.90026,3.99804,1.69786,3.6015e-05,3.6015e-05,3.6015e-05
3,669.684,1.84766,3.78221,1.71081,0.00937,0.05208,0.00576,0.00154,1.74786,3.94828,1.57258,5.755e-05,5.755e-05,5.755e-05
4,863.091,1.69234,3.78616,1.60841,0.01422,0.05844,0.01066,0.0044,1.59259,3.91115,1.47082,7.7105e-05,7.7105e-05,7.7105e-05
5,970.686,1.51144,3.59921,1.46722,0.0278,0.13437,0.02593,0.00813,1.47064,3.88269,1.40781,9.468e-05,9.468e-05,9.468e-05
6,1114.49,1.48778,3.36827,1.49158,0.04098,0.21667,0.04469,0.01382,1.36378,3.85388,1.35027,0.000110275,0.000110275,0.000110275
7,1232.51,1.32661,3.39048,1.32452,0.04671,0.25933,0.07791,0.02873,1.31804,3.80999,1.30536,0.00012389,0.00012389,0.00012389
8,1330.74,1.33741,3.39762,1.29297,0.0537,0.36433,0.12018,0.05795,1.35573,3.73889,1.28104,0.000135525,0.000135525,0.000135525
9,1437.49,1.36712,3.21479,1.33024,0.06084,0.42307,0.15393,0.0729,1.37262,3.70035,1.26369,0.00014518,0.00014518,0.00014518
10,1579.52,1.4289,3.15603,1.34281,0.06293,0.45909,0.17918,0.09236,1.41888,3.65321,1.23367,0.000152855,0.000152855,0.000152855
11,1821.62,1.34426,3.09081,1.25926,0.06311,0.51091,0.1986,0.10755,1.39453,3.60957,1.18782,0.00015855,0.00015855,0.00015855
12,2057.2,1.30977,3.0239,1.23867,0.06818,0.57548,0.23258,0.12229,1.38831,3.57509,1.17335,0.000162265,0.000162265,0.000162265
13,2217.5,1.29911,2.92074,1.22974,0.06957,0.62704,0.25787,0.14562,1.38361,3.54838,1.15468,0.000164,0.000164,0.000164
14,2369.73,1.27118,2.88517,1.1909,0.06659,0.63285,0.26906,0.15456,1.37978,3.53739,1.14205,0.000163755,0.000163755,0.000163755
15,2486.38,1.29248,2.69131,1.18801,0.07169,0.70739,0.30846,0.16832,1.3738,3.51522,1.12845,0.00016153,0.00016153,0.00016153
16,2597.11,1.29144,2.438,1.19791,0.07056,0.71321,0.33549,0.1859,1.35185,3.50828,1.11871,0.000157325,0.000157325,0.000157325
17,2688.32,1.26869,2.26279,1.16492,0.06872,0.70658,0.36544,0.19793,1.34812,3.51612,1.1241,0.00015114,0.00015114,0.00015114
18,2779.24,1.23566,2.25051,1.1547,0.06676,0.65477,0.36331,0.19216,1.35759,3.5439,1.13982,0.000142975,0.000142975,0.000142975
19,2862.07,1.12393,2.11885,1.08408,0.0648,0.62041,0.36756,0.19248,1.37036,3.55625,1.14893,0.00013283,0.00013283,0.00013283
20,2955.44,1.16622,2.06664,1.14183,0.06684,0.64314,0.37627,0.195,1.37555,3.55873,1.15092,0.000120705,0.000120705,0.000120705
21,3046.69,1.16042,1.97497,1.14244,0.0676,0.64869,0.38867,0.2052,1.37831,3.56747,1.15313,0.0001066,0.0001066,0.0001066
22,3136.49,1.13519,1.91878,1.1293,0.06582,0.62568,0.38551,0.2039,1.4011,3.57509,1.16787,9.0515e-05,9.0515e-05,9.0515e-05
23,3226.5,1.11588,1.86431,1.09579,0.06663,0.62568,0.39041,0.20294,1.40918,3.57043,1.17512,7.245e-05,7.245e-05,7.245e-05
24,3312.43,1.13038,1.77754,1.08656,0.06826,0.64895,0.40923,0.21937,1.39926,3.54741,1.1655,5.2405e-05,5.2405e-05,5.2405e-05
25,3407.83,1.11785,1.81271,1.07904,0.06743,0.6545,0.41918,0.23285,1.38673,3.53216,1.15926,3.038e-05,3.038e-05,3.038e-05
