epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.288,0.65884,0.7385,0.92022,0.68496,0.6815,0.7051,0.39816,1.49372,1.71697,1.48438,1.25e-05,1.25e-05,1.25e-05
2,417.554,0.63867,0.72895,0.90994,0.67793,0.72949,0.7361,0.41339,1.43789,1.56553,1.42792,3.65719e-05,3.65719e-05,3.65719e-05
3,583.827,0.57416,0.64377,0.9039,0.88153,0.61798,0.75977,0.40952,1.50624,1.45305,1.44006,5.94062e-05,5.94062e-05,5.94062e-05
4,756.362,0.60226,0.62915,0.88487,0.65169,0.76026,0.72639,0.37822,1.59953,1.48619,1.45475,8.10031e-05,8.10031e-05,8.10031e-05
5,906.786,0.595,0.61676,0.89781,0.6328,0.69606,0.70778,0.37498,1.60601,1.52028,1.45415,0.000101363,0.000101363,0.000101363
6,1039.64,0.56967,0.62897,0.89658,0.73761,0.61754,0.68227,0.37045,1.60864,1.52306,1.48405,0.000120484,0.000120484,0.000120484
7,1203.72,0.62256,0.63652,0.91246,0.73459,0.64569,0.72188,0.38204,1.62113,1.52254,1.52083,0.000138369,0.000138369,0.000138369
8,1329.43,0.59974,0.63419,0.8883,0.76166,0.65774,0.76788,0.39307,1.59604,1.48885,1.52072,0.000155016,0.000155016,0.000155016
9,1496.13,0.62468,0.66027,0.94261,0.76028,0.61139,0.73486,0.3962,1.59623,1.4883,1.50182,0.000170425,0.000170425,0.000170425
10,1634.7,0.64574,0.65436,0.87979,0.7882,0.62518,0.74745,0.40217,1.57479,1.51569,1.47728,0.000184597,0.000184597,0.000184597
11,1765.52,0.59713,0.59526,0.88109,0.70585,0.68328,0.74869,0.40436,1.54888,1.55814,1.45222,0.000197531,0.000197531,0.000197531
12,1924.61,0.58896,0.61585,0.89705,0.69061,0.70935,0.73273,0.39599,1.5292,1.58103,1.42578,0.000209228,0.000209228,0.000209228
13,2104.03,0.57486,0.60713,0.89257,0.81792,0.60908,0.71778,0.38871,1.55744,1.59792,1.43636,0.000219687,0.000219687,0.000219687
14,2262.93,0.60009,0.63663,0.90465,0.83399,0.59674,0.70515,0.38017,1.59643,1.63916,1.45541,0.000228909,0.000228909,0.000228909
15,2424.12,0.70218,0.69164,0.93192,0.80088,0.59612,0.69105,0.37852,1.62031,1.62419,1.47293,0.000236894,0.000236894,0.000236894
16,2645,0.60933,0.60914,0.88235,0.80693,0.59743,0.70939,0.38622,1.62082,1.61503,1.48625,0.000243641,0.000243641,0.000243641
17,2804.47,0.64122,0.65459,0.90598,0.77984,0.62515,0.72217,0.39325,1.59231,1.61178,1.4806,0.00024915,0.00024915,0.00024915
